Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
PI3	"cementoin, ELAFIN, ESI, SKALP, WAP3, WFDC14"	ENSG00000124102	"Peptidase inhibitor 3"	P19957	20	45174902-45176544	"Plasma proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"esophagus: 2191.5;lymphoid tissue: 2040.9;vagina: 1548.4"	"Group enriched"	"Detected in many"	6	"Basal respiratory cells: 6262.1;Ionocytes: 3011.8"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Head and Neck Squamous Cell Carcinoma (TCGA): 5253.2"	"Group enriched"	"Detected in some"	12	"cerebral cortex: 24.5;pons: 14.5;thalamus: 39.8"	"Immune cell enriched"	"Detected in some"	1026	"neutrophil: 1774.5"	"Lineage enriched"	"Detected in single"	4390	"granulocytes: 1774.5"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 544.0;prostate cancer: 235.4"	"Colon - Colon enterocytes"									"CAB009449, HPA017737"	Enhanced		Approved	"Plasma membrane"	"Secreted to blood"	"Enzyme inhibitor"	NA	NA		2300000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 29: Squamous epithelium - Innate immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 35: Respiratory epithelial cells - Unknown function"	2	"Plasma membrane"		"CAB009449: AB_2252354, HPA017737: AB_1848107"	"unprognostic (3.37e-1)"	"unprognostic (1.80e-3)"	"unprognostic (2.59e-1)"	"unprognostic (3.96e-2)"	"unprognostic (2.16e-1)"	"unprognostic (2.57e-2)"	"unprognostic (4.25e-2)"	"unprognostic (1.28e-2)"	"unprognostic (2.40e-1)"		"potential prognostic unfavorable (9.52e-10)"	"unprognostic (1.48e-3)"	"unprognostic (3.43e-2)"	"unprognostic (1.32e-3)"	"unprognostic (4.98e-2)"	"unprognostic (3.26e-3)"	"unprognostic (9.85e-2)"	"unprognostic (4.62e-2)"	"unprognostic (3.48e-1)"	"potential prognostic unfavorable (1.89e-5)"	"unprognostic (5.13e-2)"	"unprognostic (1.02e-3)"	"unprognostic (2.24e-1)"	"unprognostic (9.08e-3)"	"unprognostic (3.06e-2)"	"unprognostic (2.44e-1)"	"unprognostic (6.03e-2)"	"unprognostic (1.45e-1)"	"unprognostic (1.09e-1)"		"unprognostic (5.39e-2)"
RASGRP4		ENSG00000171777	"RAS guanyl releasing protein 4"	Q8TDF6	19	38409051-38426305	"Predicted intracellular proteins, RAS pathway related proteins"	Differentiation	"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"bone marrow: 20.5;lymphoid tissue: 8.7"	"Group enriched"	"Detected in some"	5	"granulocytes: 32.4;Hofbauer cells: 22.4;Kupffer cells: 25.5;Langerhans cells: 14.8;Macrophages: 19.4;monocytes: 31.0"	"Group enriched"	"Detected in some"	10	"central nervous system macrophage: 17.1;leukocyte: 5.3"	"Cancer enhanced"	"Detected in some"		"Testicular Germ Cell Tumor (TCGA): 3.7"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 39.5"	"Low lineage specificity"	"Detected in many"			"Cancer enriched"	"Detected in some"	6	"Leukemia: 7.5"	"Adipose subcutaneous - Macrophages, Adrenal gland - Macrophages, Breast - Macrophages, Colon - Macrophages, Kidney - Macrophages, Lung - Neutrophil_2, Minor Salivary Gland - Macrophages, Pituitary gland - Macrophages, Spleen - Neutrophils, Thyroid gland - Macrophages"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA041929			Supported	"Nucleoplasm,Plasma membrane,Cytosol"			NA	NA			"Cluster 7: Non-specific - Innate immune response"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 6: Non-specific - Immune response"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 29: Monocytes - Innate immune response"		"Nucleoplasm, Cytosol"	"Plasma membrane"	"HPA041929: AB_10961405"			"unprognostic (2.79e-2)"			"unprognostic (1.80e-1)"	"unprognostic (9.14e-2)"	"unprognostic (4.31e-1)"			"potential prognostic favorable (1.86e-4)"	"unprognostic (1.14e-1)"			"unprognostic (1.27e-1)"	"unprognostic (4.41e-2)"	"unprognostic (1.39e-1)"						"unprognostic (3.96e-2)"			"unprognostic (2.20e-1)"			"unprognostic (2.23e-1)"		
RHD	"CD240D, DIIIc, RH, Rh30a, Rh4, RhII, RhPI"	ENSG00000187010	"Rh blood group D antigen"	Q02161	1	25272393-25330445	"Blood group antigen proteins, CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"		"Blood group antigen"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"bone marrow: 15.5"	"Cell type enriched"	"Detected in some"	15	"Erythroid cells: 104.0"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 6.0"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 6.0"	"Cancer enriched"	"Detected in single"	4	"Leukemia: 3.0"	"Minor Salivary Gland - Minor salivary glandular cells"									"HPA060951, HPA077385"	Supported		Uncertain	"Nucleoplasm,Plasma membrane"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 48: Non-specific - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 1: Erythroid cells - Oxygen transport"	1	"Nucleoplasm, Plasma membrane"		"HPA060951: , HPA077385: "			"unprognostic (7.23e-2)"			"unprognostic (6.75e-2)"																				"unprognostic (3.51e-2)"		"unprognostic (7.54e-2)"			"unprognostic (7.03e-3)"
RRP12	KIAA0690	ENSG00000052749	"Ribosomal RNA processing 12 homolog"	Q5JTH9	10	97356358-97426076	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"bone marrow: 89.9;skeletal muscle: 37.1"	"Cell type enhanced"	"Detected in all"		"monocytes: 104.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 26.8"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA049945, HPA074403"			Supported	"Nucleoli,Vesicles,Plasma membrane,Cytosol"			No	No			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 29: Monocytes - Innate immune response"	40	Nucleoli	"Vesicles, Plasma membrane, Cytosol"	"HPA049945: AB_2680965, HPA074403: "	"unprognostic (2.85e-1)"	"unprognostic (4.86e-2)"	"unprognostic (5.33e-2)"	"unprognostic (2.65e-3)"	"unprognostic (1.80e-2)"	"unprognostic (8.62e-2)"	"unprognostic (2.60e-1)"	"unprognostic (1.45e-3)"	"unprognostic (6.96e-2)"	"unprognostic (1.24e-1)"	"unprognostic (5.74e-2)"	"unprognostic (6.68e-3)"	"unprognostic (2.37e-1)"	"potential prognostic unfavorable (8.08e-9)"	"unprognostic (1.28e-3)"	"unprognostic (7.72e-2)"	"unprognostic (1.71e-2)"	"unprognostic (3.35e-1)"	"unprognostic (1.83e-1)"	"unprognostic (5.74e-2)"	"unprognostic (2.76e-1)"	"unprognostic (1.51e-1)"	"unprognostic (1.26e-1)"	"unprognostic (7.69e-3)"	"unprognostic (3.30e-2)"	"unprognostic (1.98e-2)"	"unprognostic (8.18e-2)"	"unprognostic (2.43e-2)"	"unprognostic (4.21e-1)"	"unprognostic (1.45e-2)"	"unprognostic (8.65e-2)"
SEZ6		ENSG00000063015	"Seizure related 6 homolog"	Q53EL9	17	28954901-29006440	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"brain: 114.7"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 60.7;Cone photoreceptor cells: 22.1;Excitatory neurons: 15.3;Horizontal cells: 69.2;Inhibitory neurons: 23.3;Rod photoreceptor cells: 20.7"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in many"	11	"Glioblastoma Multiforme (TCGA): 53.8"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"basophil: 1.1;neutrophil: 2.0"	"Lineage enriched"	"Detected in single"	6	"granulocytes: 2.0"	"Cancer enhanced"	"Detected in many"		"lung cancer: 13.1;Neuroblastoma: 14.3;thyroid cancer: 21.0"	"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Pituitary gland - Thyrotropes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA011777	Enhanced						NA	NA		350000		"Cluster 65: Cerebellum - Nervous system development"	"Cluster 33: Neurons - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	1			"HPA011777: AB_1856758"	"unprognostic (4.47e-2)"	"unprognostic (4.05e-2)"					"unprognostic (3.53e-2)"	"unprognostic (1.28e-2)"						"unprognostic (1.31e-1)"	"unprognostic (6.61e-2)"					"unprognostic (3.32e-1)"		"unprognostic (5.54e-3)"				"unprognostic (2.29e-2)"		"unprognostic (3.36e-2)"	"unprognostic (3.91e-1)"		
SLC31A2	"COPT2, CTR2, hCTR2"	ENSG00000136867	"Solute carrier family 31 member 2"	O15432	9	113150976-113164140	"Predicted membrane proteins, Transporters"	"Copper transport, Ion transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"parathyroid gland: 550.1;salivary gland: 397.6"	"Cell type enhanced"	"Detected in many"		"Kupffer cells: 131.9;monocytes: 364.0;Oligodendrocytes: 105.9;Serous glandular cells: 227.4"	"Cell type enriched"	"Detected in all"	4	"oligodendrocyte: 222.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	12	"classical monocyte: 225.9;intermediate monocyte: 331.5;myeloid DC: 134.5;neutrophil: 357.2;non-classical monocyte: 424.7"	"Group enriched"	"Detected in all"	46	"dendritic cells: 134.5;granulocytes: 357.2;monocytes: 424.7"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 27.7"	"Adrenal gland - Adrenal cortex cells, Colon - Macrophages, Lung - Macrophages, Minor Salivary Gland - Minor salivary glandular cells, Spleen - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA014861, CAB080265, CAB080267"	Supported		Approved	"Nuclear speckles,Plasma membrane,Intermediate filaments"			NA	NA			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 30: White matter - Myelination"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 75: Serous glandular cells - Salivary secretion"	10	"Plasma membrane"	"Nuclear speckles, Intermediate filaments"	"CAB080265: , CAB080267: , HPA014861: AB_1857098"	"unprognostic (7.38e-2)"	"unprognostic (9.57e-2)"	"unprognostic (2.67e-2)"	"unprognostic (1.48e-1)"	"unprognostic (2.58e-1)"	"unprognostic (9.71e-2)"	"unprognostic (4.58e-2)"	"unprognostic (1.82e-1)"	"potential prognostic unfavorable (9.72e-4)"	"unprognostic (1.94e-2)"	"potential prognostic favorable (9.70e-6)"	"unprognostic (1.95e-3)"	"potential prognostic favorable (6.71e-4)"	"unprognostic (3.25e-1)"	"unprognostic (2.15e-2)"	"unprognostic (1.32e-1)"	"unprognostic (2.21e-1)"	"unprognostic (1.06e-2)"	"unprognostic (3.90e-2)"	"unprognostic (2.23e-3)"	"unprognostic (2.77e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.80e-1)"	"unprognostic (1.40e-1)"	"unprognostic (2.19e-2)"	"unprognostic (2.97e-1)"	"unprognostic (7.15e-2)"	"unprognostic (1.15e-1)"	"unprognostic (6.31e-2)"	"unprognostic (5.21e-2)"	"unprognostic (1.76e-1)"
SLC8A1	NCX1	ENSG00000183023	"Solute carrier family 8 member A1"	P32418	2	40097270-40611053	"FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Antiport, Calcium transport, Ion transport, Sodium transport, Transport"	Calmodulin-binding	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"heart muscle: 148.4"	"Group enriched"	"Detected in many"	8	"Cardiomyocytes: 942.4;Excitatory neurons: 1224.1;Inhibitory neurons: 602.1;Microglial cells: 548.4;Oligodendrocyte precursor cells: 706.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"neutrophil: 39.9"	"Group enriched"	"Detected in many"	6	"granulocytes: 39.9;monocytes: 12.3"	"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Smooth muscle cells, Colon - Smooth muscle cells, Kidney - Intercalated cells, Pituitary gland - Thyrotropes, Prostate - Smooth muscle cells, Spleen - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB022694, HPA070007"	Uncertain		Supported	"Nucleoplasm,Plasma membrane"	"Intracellular and membrane"	Transport	NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 30: Heart muscle - Heart development"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 34: Neurons - Neuronal signaling"	3	"Nucleoplasm, Plasma membrane"		"CAB022694: , HPA070007: AB_2686227"	"unprognostic (2.25e-1)"	"unprognostic (3.47e-1)"	"unprognostic (1.84e-1)"		"unprognostic (7.73e-2)"	"unprognostic (1.04e-2)"	"unprognostic (1.92e-1)"	"unprognostic (1.60e-1)"		"unprognostic (1.89e-1)"	"potential prognostic favorable (3.46e-8)"	"unprognostic (1.15e-2)"	"unprognostic (3.74e-1)"		"unprognostic (1.25e-1)"	"unprognostic (6.08e-2)"	"unprognostic (2.97e-2)"	"unprognostic (1.10e-2)"	"unprognostic (5.82e-2)"	"unprognostic (2.80e-2)"	"unprognostic (1.49e-3)"	"unprognostic (5.72e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.12e-1)"	"unprognostic (3.00e-1)"	"unprognostic (8.96e-3)"		"unprognostic (1.65e-2)"	"unprognostic (3.68e-1)"		"unprognostic (8.56e-3)"
TKT		ENSG00000163931	Transketolase	P29401	3	53224712-53256052	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		Transferase	"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	4	"bone marrow: 659.6"	"Cell type enhanced"	"Detected in all"		"Alveolar cells type 1: 873.7;Alveolar cells type 2: 667.1;monocytes: 804.2"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	6	"classical monocyte: 447.4;eosinophil: 274.7;intermediate monocyte: 198.7;myeloid DC: 204.0;neutrophil: 376.1;non-classical monocyte: 243.2"	"Group enriched"	"Detected in all"	9	"dendritic cells: 204.0;granulocytes: 376.1;monocytes: 447.4"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA029480, HPA029481"	Enhanced		Enhanced	Nucleoplasm			NA	NA		160000000	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 29: Monocytes - Innate immune response"	22	Nucleoplasm		"HPA029480: AB_10599307, HPA029481: AB_10601895"	"potential prognostic unfavorable (8.65e-4)"	"unprognostic (1.02e-2)"	"unprognostic (1.49e-1)"	"unprognostic (1.07e-2)"	"unprognostic (1.28e-3)"	"unprognostic (8.66e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.08e-1)"	"unprognostic (1.00e-2)"	"unprognostic (5.83e-2)"	"unprognostic (1.37e-2)"	"unprognostic (5.15e-3)"	"unprognostic (1.97e-3)"	"validated prognostic unfavorable (8.71e-6)"	"validated prognostic unfavorable (1.38e-5)"	"unprognostic (1.93e-1)"	"unprognostic (3.64e-2)"	"unprognostic (1.68e-1)"	"unprognostic (3.02e-1)"	"unprognostic (1.11e-1)"	"unprognostic (4.44e-2)"	"potential prognostic unfavorable (4.35e-4)"	"unprognostic (9.83e-2)"	"unprognostic (3.12e-2)"	"unprognostic (1.16e-2)"	"unprognostic (3.09e-2)"	"unprognostic (2.46e-1)"	"unprognostic (2.29e-1)"	"unprognostic (5.31e-2)"	"unprognostic (1.21e-1)"	"unprognostic (1.91e-1)"
TMEM121B	CECR6	ENSG00000183307	"Transmembrane protein 121B"	Q9BXQ6	22	17116297-17121367	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"brain: 8.7;prostate: 6.4"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 7.0;Excitatory neurons: 6.6;Hofbauer cells: 3.1;Late spermatids: 11.4;Oligodendrocyte precursor cells: 3.3;Prostatic glandular cells: 7.6"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"Prostate Adenocarcinoma (TCGA): 10.6"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"classical monocyte: 1.1;neutrophil: 1.7"	"Group enriched"	"Detected in many"	7	"granulocytes: 1.7;monocytes: 1.1"	"Cancer enhanced"	"Detected in some"		"Leukemia: 3.8;Neuroblastoma: 4.4"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Adrenal gland - Macrophages, Colon - Macrophages, Heart muscle - Cardiomyocytes, Kidney - Macrophages, Pituitary gland - Corticotropes, Prostate - Prostate glandular cells, Spleen - Neutrophils, Testis - Late spermatids, Thyroid gland - Macrophages"	"Low region specificity"	"Detected in all"							HPA068790	Approved		Approved	"Nucleoplasm,Vesicles,Plasma membrane"			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 51: Neurons - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 13: Spermatids - Transcription"		Vesicles	"Nucleoplasm, Plasma membrane"	"HPA068790: AB_2686036"							"unprognostic (1.86e-1)"	"potential prognostic favorable (9.32e-4)"																"unprognostic (3.13e-2)"					"unprognostic (1.95e-1)"		
TMOD2	NTMOD	ENSG00000128872	"Tropomodulin 2"	Q9NZR1	15	51751597-51816363	"Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"brain: 65.3"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 96.6;Excitatory neurons: 142.4;Inhibitory neurons: 120.6;Oligodendrocyte precursor cells: 92.0;Oligodendrocytes: 87.6;Schwann cells: 167.9"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 15.7"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 13.1"	"Group enriched"	"Detected in all"	4	"granulocytes: 13.1;monocytes: 10.7"	"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 18.0"	"Colon - Enteric glia cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA041365	Enhanced		Approved	"Nucleoplasm,Nucleoli fibrillar center"			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"	9	"Nucleoli fibrillar center"	Nucleoplasm	"HPA041365: AB_10794665"	"unprognostic (6.37e-2)"	"unprognostic (3.64e-2)"	"unprognostic (1.63e-1)"	"unprognostic (1.71e-1)"	"unprognostic (7.43e-2)"	"unprognostic (2.08e-3)"	"unprognostic (3.87e-2)"	"unprognostic (2.21e-2)"	"unprognostic (9.35e-2)"	"unprognostic (2.54e-1)"	"potential prognostic favorable (7.53e-5)"	"unprognostic (1.07e-3)"	"unprognostic (1.15e-1)"		"unprognostic (9.43e-2)"	"unprognostic (1.98e-3)"	"unprognostic (3.28e-2)"	"unprognostic (5.62e-3)"	"unprognostic (1.68e-1)"	"potential prognostic unfavorable (8.34e-4)"		"potential prognostic favorable (2.69e-4)"	"unprognostic (3.29e-2)"	"unprognostic (2.48e-1)"	"unprognostic (5.89e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.96e-1)"	"unprognostic (1.83e-2)"	"unprognostic (1.44e-1)"	"unprognostic (6.86e-2)"	
